name,op category,process_name,process_label,thread_name,Input Dims,Input type,Input Strides,Concrete Inputs,operation_count,total_direct_kernel_time_mean,total_subtree_kernel_time_mean,total_direct_kernel_time_median,total_subtree_kernel_time_median,total_direct_kernel_time_std,total_subtree_kernel_time_std,total_direct_kernel_time_min,total_subtree_kernel_time_min,total_direct_kernel_time_max,total_subtree_kernel_time_max,total_direct_kernel_time_sum,total_subtree_kernel_time_sum,ex_UID,kernel_details_summary,trunc_kernel_details,Percentage (%),Cumulative Percentage (%)
vllm::rocm_aiter_fused_allreduce_rmsnorm,other,Unknown,Unknown,Unknown,"((128, 6144), (128, 6144), (6144,), ())","('c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'Scalar')","((6144, 1), (6144, 1), (1,), ())","('', '', '', '1.0000000000000001e-05')",2052,1922.1028598242567,1922.1028598242567,1827.295166015625,1827.295166015625,736.2551976767911,736.2551976767911,1719.53076171875,1719.53076171875,8669.19482421875,8669.19482421875,3944155.068359375,3944155.068359375,8013256,"[{'name': '_ZN5aiter25local_device_load_rmsnormIDF16bLi512ELi2ELb0EEEvNS_11RankSignalsEPT_S3_S3_S3_fiiii', 'stream': 4, 'count': 2052, 'total_duration_us': np.float64(11534.241), 'mean_duration_us': np.float64(5.62097514619883), 'median_duration_us': np.float64(5.613), 'std_dev_duration_us': np.float64(0.11606651344006413), 'min_duration_us': np.float64(5.292), 'max_duration_us': np.float64(6.094)}, {'name': '_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi8EEEvPNS_8RankDataENS_11RankSignalsEPNS_6SignalEiiii', 'stream': 4, 'count': 2052, 'total_duration_us': np.float64(3932620.841), 'mean_duration_us': np.float64(1916.481891325536), 'median_duration_us': np.float64(1821.6415000000002), 'std_dev_duration_us': np.float64(736.0605030972118), 'min_duration_us': np.float64(1713.838), 'max_duration_us': np.float64(8663.421)}]","[{'name': '_ZN5aiter25local_device_load_rmsnormIDF16bLi512ELi2ELb0EEEvNS_11...', 'stream': 4, 'mean_duration_us': np.float64(5.62)}, {'name': '_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi8EEEvPNS_8Ra...', 'stream': 4, 'mean_duration_us': np.float64(1916.48)}]",39.38424989035736,39.38424989035736
vllm::rocm_aiter_sparse_attn_indexer,other,Unknown,Unknown,Unknown,"((8192, 6144), (), (1122254, 1, 132), (8192, 32, 128), (8192, 128), (8192, 32), (), (), (), (), (), (), (8192, 2048), ())","('c10::BFloat16', '', 'unsigned char', 'c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', 'Scalar', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'int', 'Scalar')","((6144, 1), (), (132, 132, 1), (4096, 128, 1), (128, 1), (32, 1), (), (), (), (), (), (), (2048, 1), ())","('', '', '', '', '', '', '128', '', '2048', '128', '40960', '1638400', '', 'False')",312,4035.0741060697114,4613.598748622797,4044.595703125,4570.159423828125,97.60246450997404,229.85708157377738,3679.84326171875,4168.42529296875,4324.1826171875,5994.3798828125,1258943.12109375,1439442.8095703125,5536367,"[{'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(704.445), 'mean_duration_us': np.float64(9.031346153846155), 'median_duration_us': np.float64(9.021), 'std_dev_duration_us': np.float64(0.16538989109057023), 'min_duration_us': np.float64(8.701), 'max_duration_us': np.float64(9.663)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(744.2230000000002), 'mean_duration_us': np.float64(9.541320512820516), 'median_duration_us': np.float64(9.602), 'std_dev_duration_us': np.float64(0.28788946835457635), 'min_duration_us': np.float64(7.898), 'max_duration_us': np.float64(9.944)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(794.0219999999999), 'mean_duration_us': np.float64(10.17976923076923), 'median_duration_us': np.float64(10.224499999999999), 'std_dev_duration_us': np.float64(0.3698531906621843), 'min_duration_us': np.float64(8.78), 'max_duration_us': np.float64(10.785)}, {'name': '_indexer_k_quant_and_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(837.8189999999998), 'mean_duration_us': np.float64(10.741269230769229), 'median_duration_us': np.float64(10.8255), 'std_dev_duration_us': np.float64(0.5490884444445041), 'min_duration_us': np.float64(8.781), 'max_duration_us': np.float64(11.628)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(841.8639999999999), 'mean_duration_us': np.float64(10.793128205128204), 'median_duration_us': np.float64(10.866), 'std_dev_duration_us': np.float64(0.425214315766386), 'min_duration_us': np.float64(9.262), 'max_duration_us': np.float64(11.668)}, {'name': '_gluon_deepgemm_fp8_paged_mqa_logits', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(14539.462999999998), 'mean_duration_us': np.float64(186.40337179487176), 'median_duration_us': np.float64(185.694), 'std_dev_duration_us': np.float64(4.175010591446642), 'min_duration_us': np.float64(177.674), 'max_duration_us': np.float64(196.56)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(20656.606000000003), 'mean_duration_us': np.float64(264.8282820512821), 'median_duration_us': np.float64(266.1115), 'std_dev_duration_us': np.float64(12.321753691054335), 'min_duration_us': np.float64(223.306), 'max_duration_us': np.float64(287.984)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(61878.58600000001), 'mean_duration_us': np.float64(793.3152051282052), 'median_duration_us': np.float64(800.079), 'std_dev_duration_us': np.float64(34.41880805358776), 'min_duration_us': np.float64(674.491), 'max_duration_us': np.float64(841.941)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(96773.94), 'mean_duration_us': np.float64(1240.6915384615386), 'median_duration_us': np.float64(1242.3025), 'std_dev_duration_us': np.float64(29.235519390251163), 'min_duration_us': np.float64(1144.603), 'max_duration_us': np.float64(1333.947)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(122191.49300000002), 'mean_duration_us': np.float64(1566.5576025641028), 'median_duration_us': np.float64(1569.344), 'std_dev_duration_us': np.float64(34.375726354783666), 'min_duration_us': np.float64(1471.163), 'max_duration_us': np.float64(1736.413)}]","[{'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(9.03)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(9.54)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(10.18)}, {'name': '_indexer_k_quant_and_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(10.74)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(10.79)}, {'name': '_gluon_deepgemm_fp8_paged_mqa_logits', 'stream': 4, 'mean_duration_us': np.float64(186.4)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(264.83)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(793.32)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(1240.69)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(1566.56)}]",12.571141250672785,51.95539114103015
aiter::fmoe_fp8_blockscale_g1u1,MoE_fused,Unknown,Unknown,Unknown,"((8192, 6144), (8192, 6144), (256, 512, 6144), (256, 6144, 256), (73720,), (73720,), (2304,), (2,), (), (8192, 48), (256, 4, 48), (256, 48, 2), (), (), (), (), (), ())","('c10::BFloat16', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'float', 'int', 'int', 'Scalar', 'float', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar', 'Scalar')","((6144, 1), (6144, 1), (3145728, 6144, 1), (1572864, 256, 1), (1,), (1,), (1,), (1,), (), (48, 1), (192, 48, 1), (96, 2, 1), (), (), (), (), (), ())","('', '', '', '', '', '', '', '', '8', '', '', '', '', '128', '128', '', '0', '32')",300,1905.1962239583333,1905.1962239583333,1890.069091796875,1890.069091796875,171.85709974474625,171.85709974474625,1516.52392578125,1516.52392578125,2438.251953125,2438.251953125,571558.8671875,571558.8671875,5537573,"[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'count': 300, 'total_duration_us': np.float64(571558.865), 'mean_duration_us': np.float64(1905.1962166666667), 'median_duration_us': np.float64(1890.069), 'std_dev_duration_us': np.float64(171.57042730893258), 'min_duration_us': np.float64(1516.524), 'max_duration_us': np.float64(2438.252)}]","[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'mean_duration_us': np.float64(1905.2)}]",5.707285048943471,57.66267618997362
aiter::fmoe_fp8_blockscale_g1u1,MoE_fused,Unknown,Unknown,Unknown,"((128, 6144), (128, 6144), (256, 512, 6144), (256, 6144, 256), (9208,), (9208,), (288,), (2,), (), (128, 48), (256, 4, 48), (256, 48, 2), (), (), (), (), (), ())","('c10::BFloat16', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'float', 'int', 'int', 'Scalar', 'float', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar', 'Scalar')","((6144, 1), (6144, 1), (3145728, 6144, 1), (1572864, 256, 1), (1,), (1,), (1,), (1,), (), (48, 1), (192, 48, 1), (96, 2, 1), (), (), (), (), (), ())","('', '', '', '', '', '', '', '', '8', '', '', '', '', '128', '128', '', '0', '32')",2025,278.7031305459105,278.7031305459105,278.40087890625,278.40087890625,7.8250076132449,7.8250076132449,257.58984375,257.58984375,302.86083984375,302.86083984375,564373.8393554688,564373.8393554688,8020978,"[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'count': 2025, 'total_duration_us': np.float64(564373.836), 'mean_duration_us': np.float64(278.7031288888889), 'median_duration_us': np.float64(278.401), 'std_dev_duration_us': np.float64(7.823078027911716), 'min_duration_us': np.float64(257.59), 'max_duration_us': np.float64(302.861)}]","[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'mean_duration_us': np.float64(278.7)}]",5.635539154904979,63.2982153448786
aiter::mla_decode_stage1_asm_fwd,other,Unknown,Unknown,Unknown,"((8192, 16, 576), (1122254, 1, 1, 576), (8193,), (8193,), (16777216,), (8192,), (), (2,), (305,), (8495, 8), (), (), (), (), (606, 1, 16, 512), (606, 1, 16, 1), (8192, 16, 512), (), (), (), (), (), (), (), ())","('c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'int', 'int', 'int', '', 'long unsigned int', 'int', 'int', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'float', 'float', 'c10::BFloat16', '', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar')","((9216, 576, 1), (576, 576, 576, 1), (1,), (1,), (1,), (1,), (), (1,), (1,), (8, 1), (), (), (), (), (8192, 8192, 512, 1), (16, 16, 1, 1), (8192, 512, 1), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '', '', '', '', '1', '1', '1', '0.0625', '', '', '', '', '', '', '', '1', '0', '', '0')",312,1367.7024739583333,1367.7024739583333,1367.970458984375,1367.970458984375,44.407782047213146,44.407782047213146,1224.83984375,1224.83984375,1529.625,1529.625,426723.171875,426723.171875,5536565,"[{'name': 'aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps', 'stream': 4, 'count': 312, 'total_duration_us': np.float64(426723.176), 'mean_duration_us': np.float64(1367.7024871794872), 'median_duration_us': np.float64(1367.9705), 'std_dev_duration_us': np.float64(44.336555968275675), 'min_duration_us': np.float64(1224.84), 'max_duration_us': np.float64(1529.625)}]","[{'name': 'aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps', 'stream': 4, 'mean_duration_us': np.float64(1367.7)}]",4.261032272780713,67.55924761765931
vllm::rocm_aiter_sparse_attn_indexer,other,Unknown,Unknown,Unknown,"((128, 6144), (), (1122254, 1, 132), (128, 32, 128), (128, 128), (128, 32), (), (), (), (), (), (), (8192, 2048), ())","('c10::BFloat16', '', 'unsigned char', 'c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', 'Scalar', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'int', 'Scalar')","((6144, 1), (), (132, 132, 1), (4096, 128, 1), (128, 1), (32, 1), (), (), (), (), (), (), (2048, 1), ())","('', '', '', '', '', '', '128', '', '2048', '128', '40960', '1638400', '', 'False')",2106,160.96507026983915,199.84224110428536,160.9921875,199.9638671875,1.1755647356505636,1.518425119710556,156.14013671875,193.22802734375,165.04296875,204.25439453125,338992.43798828125,420867.759765625,243,"[{'name': '_indexer_k_quant_and_cache_kernel', 'stream': 4, 'count': 2106, 'total_duration_us': np.float64(10387.468), 'mean_duration_us': np.float64(4.932320987654322), 'median_duration_us': np.float64(4.931), 'std_dev_duration_us': np.float64(0.10649152067405547), 'min_duration_us': np.float64(4.691), 'max_duration_us': np.float64(7.017)}, {'name': '_gluon_deepgemm_fp8_paged_mqa_logits', 'stream': 4, 'count': 2106, 'total_duration_us': np.float64(328604.81200000003), 'mean_duration_us': np.float64(156.03267426400762), 'median_duration_us': np.float64(156.061), 'std_dev_duration_us': np.float64(1.170775534671579), 'min_duration_us': np.float64(151.169), 'max_duration_us': np.float64(160.072)}]","[{'name': '_indexer_k_quant_and_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(4.93)}, {'name': '_gluon_deepgemm_fp8_paged_mqa_logits', 'stream': 4, 'mean_duration_us': np.float64(156.03)}]",3.3849994884266694,70.94424710608598
vllm::rocm_aiter_sparse_attn_indexer,other,Unknown,Unknown,Unknown,"((4096, 6144), (), (1122254, 1, 132), (4096, 32, 128), (4096, 128), (4096, 32), (), (), (), (), (), (), (8192, 2048), ())","('c10::BFloat16', '', 'unsigned char', 'c10::Float8_e4m3fnuz', 'c10::BFloat16', 'float', 'Scalar', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'int', 'Scalar')","((6144, 1), (), (132, 132, 1), (4096, 128, 1), (128, 1), (32, 1), (), (), (), (), (), (), (2048, 1), ())","('', '', '', '', '', '', '128', '', '2048', '128', '40960', '1638400', '', 'False')",78,3222.998766776843,3713.0284517728364,3218.23681640625,3642.385498046875,59.6093126634456,225.94562180378668,3099.6640625,3487.767578125,3445.9130859375,4687.8671875,251393.90380859375,289616.21923828125,4962020,"[{'name': '_indexer_k_quant_and_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(494.932), 'mean_duration_us': np.float64(6.345282051282052), 'median_duration_us': np.float64(6.374499999999999), 'std_dev_duration_us': np.float64(0.3624548742004854), 'min_duration_us': np.float64(5.613), 'max_duration_us': np.float64(7.257)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(737.3239999999997), 'mean_duration_us': np.float64(9.452871794871792), 'median_duration_us': np.float64(9.462), 'std_dev_duration_us': np.float64(0.27603870775460043), 'min_duration_us': np.float64(8.86), 'max_duration_us': np.float64(10.104)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(750.6799999999998), 'mean_duration_us': np.float64(9.624102564102563), 'median_duration_us': np.float64(9.623), 'std_dev_duration_us': np.float64(0.25778069539145543), 'min_duration_us': np.float64(9.181), 'max_duration_us': np.float64(10.545)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(837.053), 'mean_duration_us': np.float64(10.731448717948718), 'median_duration_us': np.float64(10.7055), 'std_dev_duration_us': np.float64(0.41443463644219175), 'min_duration_us': np.float64(9.944), 'max_duration_us': np.float64(11.828)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(9793.310000000001), 'mean_duration_us': np.float64(125.55525641025643), 'median_duration_us': np.float64(125.226), 'std_dev_duration_us': np.float64(3.816484845414615), 'min_duration_us': np.float64(117.045), 'max_duration_us': np.float64(139.701)}, {'name': '_gluon_deepgemm_fp8_paged_mqa_logits', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(14489.147), 'mean_duration_us': np.float64(185.75829487179487), 'median_duration_us': np.float64(186.73649999999998), 'std_dev_duration_us': np.float64(7.22255927740401), 'min_duration_us': np.float64(165.404), 'max_duration_us': np.float64(205.503)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(95671.931), 'mean_duration_us': np.float64(1226.563217948718), 'median_duration_us': np.float64(1217.1405), 'std_dev_duration_us': np.float64(49.41663326292315), 'min_duration_us': np.float64(1149.575), 'max_duration_us': np.float64(1367.63)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'count': 78, 'total_duration_us': np.float64(128619.52100000001), 'mean_duration_us': np.float64(1648.9682179487181), 'median_duration_us': np.float64(1647.896), 'std_dev_duration_us': np.float64(45.27155836715764), 'min_duration_us': np.float64(1556.732), 'max_duration_us': np.float64(1864.125)}]","[{'name': '_indexer_k_quant_and_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(6.35)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(9.45)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(9.62)}, {'name': '_cp_gather_indexer_quant_cache_kernel', 'stream': 4, 'mean_duration_us': np.float64(10.73)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(125.56)}, {'name': '_gluon_deepgemm_fp8_paged_mqa_logits', 'stream': 4, 'mean_duration_us': np.float64(185.76)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(1226.56)}, {'name': '_fp8_mqa_logits_kernel', 'stream': 4, 'mean_duration_us': np.float64(1648.97)}]",2.510286780541962,73.45453388662794
aiter::fused_allreduce_rmsnorm_quant_per_group,other,Unknown,Unknown,Unknown,"((1,), (), (128, 6144), (128, 6144), (128, 6144), (128, 6144), (128, 48), (6144,), (), (), (), (), (), ())","('float', 'Scalar', 'c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'c10::Float8_e4m3fnuz', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((1,), (), (6144, 1), (6144, 1), (6144, 1), (6144, 1), (48, 1), (1,), (), (), (), (), (), ())","('', '780531392', '', '', '', '', '', '', '1.0000000000000001e-05', '128', '0', '0', 'False', '0')",81,2174.1828342013887,2174.1828342013887,2141.52392578125,2141.52392578125,95.94919197853379,95.94919197853379,2046.5322265625,2046.5322265625,2408.4580078125,2408.4580078125,176108.8095703125,176108.8095703125,8014625,"[{'name': '_ZN5aiter47local_device_load_rmsnorm_quant_per_group_naiveIDF16bDB8_Lb0EEEvNS_11RankSignalsEiPT_S4_PT0_S4_PfiiifS4_', 'stream': 4, 'count': 81, 'total_duration_us': np.float64(523.2379999999999), 'mean_duration_us': np.float64(6.4597283950617275), 'median_duration_us': np.float64(6.454), 'std_dev_duration_us': np.float64(0.14925601605805694), 'min_duration_us': np.float64(6.134), 'max_duration_us': np.float64(6.977)}, {'name': '_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi8EEEvPNS_8RankDataENS_11RankSignalsEPNS_6SignalEiiii', 'stream': 4, 'count': 81, 'total_duration_us': np.float64(175585.569), 'mean_duration_us': np.float64(2167.723074074074), 'median_duration_us': np.float64(2135.189), 'std_dev_duration_us': np.float64(95.33006274262613), 'min_duration_us': np.float64(2040.117), 'max_duration_us': np.float64(2401.882)}]","[{'name': '_ZN5aiter47local_device_load_rmsnorm_quant_per_group_naiveIDF16b...', 'stream': 4, 'mean_duration_us': np.float64(6.46)}, {'name': '_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi8EEEvPNS_8Ra...', 'stream': 4, 'mean_duration_us': np.float64(2167.72)}]",1.758529582077419,75.21306346870536
aiter::fused_allreduce_rmsnorm_quant_per_group,other,Unknown,Unknown,Unknown,"((1,), (), (4096, 6144), (4096, 6144), (4096, 6144), (4096, 6144), (4096, 48), (6144,), (), (), (), (), (), ())","('float', 'Scalar', 'c10::BFloat16', 'c10::BFloat16', 'c10::BFloat16', 'c10::Float8_e4m3fnuz', 'float', 'c10::BFloat16', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'Scalar')","((1,), (), (6144, 1), (6144, 1), (6144, 1), (6144, 1), (48, 1), (1,), (), (), (), (), (), ())","('', '780531392', '', '', '', '', '', '', '1.0000000000000001e-05', '128', '140178800771072', '134217728', 'False', '0')",3,58685.692545572914,58685.692545572914,17149.2080078125,17149.2080078125,79986.91325611735,79986.91325611735,8012.02392578125,8012.02392578125,150895.845703125,150895.845703125,176057.07763671875,176057.07763671875,4962223,"[{'name': 'Memcpy DtoD (Device -> Device)', 'stream': 4, 'count': 3, 'total_duration_us': np.float64(74.941), 'mean_duration_us': np.float64(24.980333333333334), 'median_duration_us': np.float64(24.259), 'std_dev_duration_us': np.float64(1.5587724515000756), 'min_duration_us': np.float64(23.537), 'max_duration_us': np.float64(27.145)}, {'name': '_ZN5aiter47local_device_load_rmsnorm_quant_per_group_naiveIDF16bDB8_Lb0EEEvNS_11RankSignalsEiPT_S4_PT0_S4_PfiiifS4_', 'stream': 4, 'count': 3, 'total_duration_us': np.float64(192.749), 'mean_duration_us': np.float64(64.24966666666667), 'median_duration_us': np.float64(64.237), 'std_dev_duration_us': np.float64(0.08213944782434429), 'min_duration_us': np.float64(64.156), 'max_duration_us': np.float64(64.356)}, {'name': '_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi8EEEvPNS_8RankDataENS_11RankSignalsEPNS_6SignalEiiii', 'stream': 4, 'count': 3, 'total_duration_us': np.float64(175789.38800000004), 'mean_duration_us': np.float64(58596.46266666668), 'median_duration_us': np.float64(17061.434), 'std_dev_duration_us': np.float64(65307.59889894509), 'min_duration_us': np.float64(7923.409), 'max_duration_us': np.float64(150804.545)}]","[{'name': 'Memcpy DtoD (Device -> Device)', 'stream': 4, 'mean_duration_us': np.float64(24.98)}, {'name': '_ZN5aiter47local_device_load_rmsnorm_quant_per_group_naiveIDF16b...', 'stream': 4, 'mean_duration_us': np.float64(64.25)}, {'name': '_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi8EEEvPNS_8Ra...', 'stream': 4, 'mean_duration_us': np.float64(58596.46)}]",1.7580130143044344,76.9710764830098
aiter::mla_decode_stage1_asm_fwd,other,Unknown,Unknown,Unknown,"((125, 16, 576), (1122254, 1, 1, 576), (126,), (126,), (256000,), (125,), (), (2,), (305,), (8495, 8), (), (), (), (), (606, 1, 16, 512), (606, 1, 16, 1), (125, 16, 512), (), (), (), (), (), (), (), ())","('c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'int', 'int', 'int', '', 'long unsigned int', 'int', 'int', 'Scalar', 'Scalar', 'Scalar', 'Scalar', 'float', 'float', 'c10::BFloat16', '', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar')","((9216, 576, 1), (576, 576, 576, 1), (1,), (1,), (1,), (1,), (), (1,), (1,), (8, 1), (), (), (), (), (8192, 8192, 512, 1), (16, 16, 1, 1), (8192, 512, 1), (), (), (), (), (), (), (), ())","('', '', '', '', '', '', '', '', '', '', '1', '1', '1', '0.0625', '', '', '', '', '', '', '', '1', '0', '', '0')",2028,60.20064916366186,60.20064916366186,60.18603515625,60.18603515625,0.9234981071310548,0.9234981071310548,57.21923828125,57.21923828125,64.15576171875,64.15576171875,122086.91650390625,122086.91650390625,337,"[{'name': 'aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps', 'stream': 4, 'count': 2028, 'total_duration_us': np.float64(122086.92300000001), 'mean_duration_us': np.float64(60.20065236686391), 'median_duration_us': np.float64(60.186), 'std_dev_duration_us': np.float64(0.9232662108054794), 'min_duration_us': np.float64(57.219), 'max_duration_us': np.float64(64.156)}]","[{'name': 'aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps', 'stream': 4, 'mean_duration_us': np.float64(60.2)}]",1.2190954829605918,78.19017196597039
